NAME,NAME_FR,WARD,SECTOR_EN,SECTOR_FR,OBJECTID,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,SHAPE_Length,SHAPE_Area
Somerset,Somerset,14,Urban,Urbain,25,{03C7C83F-DB65-49CC-BB4A-492ACC592896},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,16122.6366701156,13126980.1264726
Kanata South,Kanata-Sud,23,Suburban,Suburbain,26,{086F1700-E394-4394-8EC8-1760EA820512},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,28452.2225488824,33844909.8717182
Kanata North,Kanata-Nord,4,Suburban,Suburbain,27,{20002E33-7AE6-4D89-B234-E7AC1884B814},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,41747.1117659967,52995709.6788797
Capital,Capitale,17,Urban,Urbain,28,{3E049BC7-E873-4B10-8577-465AAD95805A},2021/10/14 10:42:04+00,2022/09/29 14:28:03+00,27281.8023987442,22194763.6237146
Kitchissippi,Kitchissippi,15,Urban,Urbain,29,{3FFF07C4-3187-42F7-A410-27C87A9041B4},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,20722.4440551016,23509516.6684199
Rideau-Rockcliffe,Rideau-Rockcliffe,13,Urban,Urbain,30,{4E4EC93D-29C2-4C65-8B86-83473F4F6DF9},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,38422.0210529018,37946874.5916933
Orléans East-Cumberland,Orléans-Est-Cumberland,1,Suburban,Suburbain,31,{547D62B7-A18A-4330-B415-CDE96D706B66},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,61875.980924276,110545085.234709
Alta Vista,Alta Vista,18,Urban,Urbain,32,{611A45BF-A862-47F4-8B51-C49F4B1ABCA8},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,27483.2517135967,40856945.7701274
River,Rivière,16,Urban,Urbain,33,{65578557-AA2A-4BD8-8441-B11FCE33D248},2021/10/14 10:42:04+00,2022/09/29 14:28:48+00,40413.8394311043,48377463.6457607
Bay,Baie,7,Urban,Urbain,34,{71C1A4FB-1073-4D18-BE97-EA614D8D7CF0},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,61600.5339278754,132819473.461119
Knoxdale-Merivale,Knoxdale-Merivale,9,Urban,Urbain,35,{83B68F08-3955-4F61-B0B1-C87A5132EC32},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,51519.062567494,95616904.8354312
Stittsville,Stittsville,6,Suburban,Suburbain,36,{9120FD9D-928F-4F9F-9E80-FCEDC183CE8F},2021/10/14 10:42:04+00,2022/02/17 15:39:04+00,30620.8770594332,51806761.9058361
Orléans South-Navan,Orléans-Sud-Navan,19,Suburban,Suburbain,37,{A09E89EC-1E65-4B45-B222-5F46150C846E},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,103176.600979125,399247111.985088
Beacon Hill-Cyrville,Beacon Hill-Cyrville,11,Urban,Urbain,38,{A80B1F5A-450B-4584-A2F7-C2ACFF9D5A91},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,37943.8563579369,39161245.7369463
Gloucester-Southgate,Gloucester-Southgate,10,Urban,Urbain,39,{A87B3199-C515-4B6C-963A-19E4AF167528},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,63271.8303950536,161233561.088975
College,Collège,8,Urban,Urbain,40,{AA9004CB-16A4-463C-989B-D404290CFA7E},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,57329.6246137754,92936791.9916741
West Carleton-March,West Carleton-March,5,Rural,Rural,41,{B8D16122-5C06-4422-A74C-7D3C0D1D6839},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,180445.823335323,1550245091.37291
Orléans West-Innes,Orléans-Ouest-Innes,2,Suburban,Suburbain,42,{C41AE21B-2F77-45B6-B63F-3EEC7364D9D4},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,43284.8990038664,63777859.9246069
Riverside South-Findlay Creek,Riverside-Sud-Findlay Creek,22,Suburban,Suburbain,43,{C79412B5-6410-472D-BDD1-3C3F3FC75522},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,51277.1971536457,69465003.21037
Rideau-Jock,Rideau-Jock,21,Rural,Rural,44,{D1197DB4-868A-4CBD-8D71-D43DD0FD33F3},2021/10/14 10:42:04+00,2022/02/17 15:39:15+00,173118.370560884,1461228176.80441
Rideau-Vanier,Rideau-Vanier,12,Urban,Urbain,45,{E130930F-9E78-4735-986F-3268C72E39CF},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,23200.7770374361,18306865.5178531
Osgoode,Osgoode,20,Rural,Rural,46,{E85446A2-0A01-44CA-8E0F-D23D38DB10D0},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,197555.035988699,1245240405.30741
Barrhaven East,Barrhaven-Est,24,Suburban,Suburbain,47,{ED51346E-5605-401C-9A86-BDC4FD817BBA},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,28557.7039682137,27843675.5329616
Barrhaven West,Barrhaven-Ouest,3,Suburban,Suburbain,48,{F522C7C3-4D63-4B0D-99E3-2B9FB9545D4B},2021/10/14 10:42:04+00,2021/10/14 10:42:04+00,38549.5956945678,56118523.485186
